date,date,cases,log_cases
2020-01-21,2020-01-21,1,0.0
2020-01-22,2020-01-22,1,0.0
2020-01-23,2020-01-23,1,0.0
2020-01-24,2020-01-24,2,0.6931471805599453
2020-01-25,2020-01-25,3,1.0986122886681098
2020-01-26,2020-01-26,5,1.6094379124341003
2020-01-27,2020-01-27,5,1.6094379124341003
2020-01-28,2020-01-28,5,1.6094379124341003
2020-01-29,2020-01-29,5,1.6094379124341003
2020-01-30,2020-01-30,6,1.791759469228055
2020-01-31,2020-01-31,7,1.9459101490553132
2020-02-01,2020-02-01,8,2.0794415416798357
2020-02-02,2020-02-02,11,2.3978952727983707
2020-02-03,2020-02-03,11,2.3978952727983707
2020-02-04,2020-02-04,11,2.3978952727983707
2020-02-05,2020-02-05,12,2.4849066497880004
2020-02-06,2020-02-06,12,2.4849066497880004
2020-02-07,2020-02-07,12,2.4849066497880004
2020-02-08,2020-02-08,12,2.4849066497880004
2020-02-09,2020-02-09,12,2.4849066497880004
2020-02-10,2020-02-10,13,2.5649493574615367
2020-02-11,2020-02-11,13,2.5649493574615367
2020-02-12,2020-02-12,14,2.6390573296152584
2020-02-13,2020-02-13,15,2.70805020110221
2020-02-14,2020-02-14,15,2.70805020110221
2020-02-15,2020-02-15,15,2.70805020110221
2020-02-16,2020-02-16,15,2.70805020110221
2020-02-17,2020-02-17,25,3.2188758248682006
2020-02-18,2020-02-18,25,3.2188758248682006
2020-02-19,2020-02-19,25,3.2188758248682006
2020-02-20,2020-02-20,27,3.295836866004329
2020-02-21,2020-02-21,30,3.4011973816621555
2020-02-22,2020-02-22,30,3.4011973816621555
2020-02-23,2020-02-23,30,3.4011973816621555
2020-02-24,2020-02-24,43,3.7612001156935624
2020-02-25,2020-02-25,45,3.8066624897703196
2020-02-26,2020-02-26,60,4.0943445622221
2020-02-27,2020-02-27,60,4.0943445622221
2020-02-28,2020-02-28,65,4.174387269895637
2020-02-29,2020-02-29,70,4.248495242049359
2020-03-01,2020-03-01,88,4.477336814478207
2020-03-02,2020-03-02,104,4.6443908991413725
2020-03-03,2020-03-03,125,4.8283137373023015
2020-03-04,2020-03-04,161,5.081404364984463
2020-03-05,2020-03-05,228,5.429345628954441
2020-03-06,2020-03-06,311,5.739792912179234
2020-03-07,2020-03-07,428,6.059123195581797
2020-03-08,2020-03-08,547,6.304448802421981
2020-03-09,2020-03-09,748,6.617402977974478
2020-03-10,2020-03-10,1018,6.925595197110468
2020-03-11,2020-03-11,1263,7.141245122350491
2020-03-12,2020-03-12,1668,7.419380582918692
2020-03-13,2020-03-13,2224,7.707062655370473
2020-03-14,2020-03-14,2898,7.971776122880628
2020-03-15,2020-03-15,3600,8.1886891244442
2020-03-16,2020-03-16,4507,8.413387022690648
2020-03-17,2020-03-17,5905,8.683554728631462
2020-03-18,2020-03-18,8345,9.029417836095936
2020-03-19,2020-03-19,12413,9.426499589515949
2020-03-20,2020-03-20,17996,9.797904789961063
2020-03-21,2020-03-21,24532,10.107733666745874
2020-03-22,2020-03-22,33061,10.406109618951431
2020-03-23,2020-03-23,43499,10.680493228306789
2020-03-24,2020-03-24,53938,10.89559051777123
2020-03-25,2020-03-25,68516,11.134822573617875
2020-03-26,2020-03-26,85566,11.357043286964823
